Date,Open,High,Low,Close,Adj Close,Volume
2017-04-01,118.690002,123.070000,118.400002,120.769997,120.769997,176157400
2017-05-01,120.209999,121.230003,115.559998,120.620003,120.620003,160072400
2017-06-01,120.169998,123.309998,117.910004,118.019997,118.019997,160832400
2017-07-01,116.540001,120.860001,114.800003,120.750000,120.750000,128516200
2017-08-01,120.440002,125.870003,118.970001,125.820000,125.820000,179580900
2017-09-01,126.010002,128.320007,121.550003,121.580002,121.580002,174234300
2017-10-01,121.169998,123.970001,119.779999,120.669998,120.669998,137821900
2017-11-01,120.980003,123.330002,120.180000,121.099998,121.099998,121999200
2017-12-01,120.940002,124.089996,117.400002,123.650002,123.650002,145856700
2018-01-01,124.660004,129.509995,124.099998,127.650002,127.650002,184868100
2018-02-01,127.180000,128.699997,124.389999,125.000000,125.000000,176366400
2018-03-01,124.150002,128.580002,123.580002,125.790001,125.790001,143350600
2018-04-01,126.650002,129.470001,124.190002,124.589996,124.589996,148538100
2018-05-01,123.900002,125.589996,121.970001,123.099998,123.099998,136939000
2018-06-01,122.580002,123.860001,118.010002,118.650002,118.650002,133529400
2018-07-01,118.180000,119.730003,115.120003,115.989998,115.989998,130595500
2018-08-01,115.629997,115.699997,111.059998,113.510002,113.510002,148356600
2018-09-01,112.750000,114.779999,111.849998,112.760002,112.760002,97355900
2018-10-01,112.400002,117.650002,111.900002,115.150002,115.150002,228476300
2018-11-01,116.330002,117.070000,113.419998,115.540001,115.540001,186729200
2018-12-01,116.599998,121.260002,116.300003,121.250000,121.250000,178898300
2019-01-01,121.349998,125.230003,120.690002,124.750000,124.750000,195173300
2019-02-01,124.889999,127.209999,123.190002,123.989998,123.989998,141982900
2019-03-01,123.480003,125.110001,121.029999,122.010002,122.010002,168879600
2019-04-01,122.400002,123.769997,119.550003,121.199997,121.199997,124262600
2019-05-01,121.029999,123.400002,119.540001,123.330002,123.330002,140574200
2019-06-01,124.089996,135.550003,123.900002,133.199997,133.199997,205587500
2019-07-01,131.559998,136.630005,130.550003,133.210007,133.210007,226437500
2019-08-01,132.419998,145.679993,132.309998,143.750000,143.750000,322877500
2019-09-01,144.960007,146.820007,138.029999,138.869995,138.869995,233678500
2019-10-01,138.070007,143.250000,137.800003,142.429993,142.429993,178416900
2019-11-01,142.210007,142.899994,136.190002,137.860001,137.860001,139229300
2019-12-01,137.320007,143.600006,137.300003,142.899994,142.899994,121345200
2020-01-01,143.860001,149.679993,143.399994,149.330002,149.330002,194652300
2020-02-01,148.660004,158.529999,145.800003,148.380005,148.380005,254768800
2020-03-01,150.000000,159.369995,136.119995,148.050003,148.050003,457459900
2020-04-01,148.199997,164.419998,147.850006,158.800003,158.800003,260328300
2020-05-01,158.000000,164.960007,157.800003,162.910004,162.910004,235368600
2020-06-01,162.919998,167.990005,157.039993,167.369995,167.369995,222113900
